aoa,cl,ma,re
19.62093811,1.5367909,0.147673913,227182.0719
14.35213235,1.5105119,0.14662361,320394.039
12.86488215,1.5238181,0.146350931,362251.3561
3.863283199,0.81671272,0.147006032,413471.4003
18.46345603,0.90703411,0.148547722,216476.5153
13.88287915,1.4997284,0.147052463,421342.3573
16.31540655,1.5104081,0.142207276,274880.2993
16.32542498,1.4271688,0.148570194,356663.7327
15.45754407,1.5415383,0.147040181,337180.7587
13.16888499,1.482812,0.144372506,283731.955
16.00923033,1.5555915,0.146785328,289944.5105
12.98246746,1.4731044,0.144691018,245447.7743
3.445970549,0.75014139,0.143224686,217707.575
17.75112764,1.5662806,0.145588126,337708.279
15.07087764,1.653428,0.148077821,396588.9346
12.42320397,1.4414139,0.141952221,318327.986
12.45226574,1.4579521,0.146424079,391354.4003
15.04739195,1.5667182,0.142229979,330052.9425
6.977329295,1.0568447,0.148380641,245743.5291
16.0889369,1.4266071,0.141283809,346998.3171
13.5762196,1.5421726,0.144398337,324044.3645
18.40579938,1.5806996,0.146674927,349144.2085
18.2157944,1.6539211,0.145844902,345880.6649
12.33930941,1.4672535,0.143936947,410087.6989
13.36779371,1.4820425,0.14654796,234211.5828
7.469612125,1.1233869,0.142571011,263463.7809
18.35642474,1.3676686,0.143755437,424481.5969
19.49187165,1.2553265,0.142648212,335148.7231
12.64323581,1.4361285,0.142296083,270177.2195
14.8876324,1.5268974,0.148942313,258707.7958
16.31860452,1.5371006,0.141066606,265727.1972
18.50622503,1.5261452,0.148813479,404553.3606
16.59058117,1.588032,0.144217693,290274.5912
7.583051577,1.131008,0.143211674,228827.7152
13.46172884,1.4598418,0.149393018,274521.0422
19.19229943,1.3384519,0.147523741,372925.6951
16.44802179,1.5535848,0.142660576,336329.7151
12.67648189,1.4434441,0.143669301,416849.0906
14.65599709,1.5588633,0.14209493,331890.442
17.07246546,1.4140535,0.146308041,384419.2078
16.4551606,1.4840527,0.143442831,364071.4152
16.15811352,1.5354575,0.142567183,368232.3738
2.326586812,0.57217857,0.14663083,292356.5642
0.155795492,0.39533396,0.14612979,309419.6136
15.29445512,1.5715661,0.146839595,421621.5875
13.41514654,1.5068965,0.147041513,366961.3688
18.73942838,1.4987791,0.149092113,350808.5208
13.46870603,1.5604077,0.149300116,430948.211
7.02171514,1.0540918,0.143431064,324449.9412
12.5604699,1.4738068,0.149312044,214522.7796
13.62846124,1.558209,0.145267644,392287.7126
1.956772307,0.60913106,0.145113385,388559.3505
10.61336099,1.2629042,0.145884951,260146.6683
10.12114351,1.2345752,0.142846683,246056.2304
16.42873935,1.4291737,0.145189493,293145.2156
16.23762489,1.7214143,0.142640458,324948.516
19.24438056,1.5591212,0.146023168,279645.7049
1.479604554,0.53944767,0.144919368,259302.1318
14.76776075,1.4890544,0.140984571,318892.4674
19.02448512,1.3734538,0.145969348,230093.8701
15.83148403,1.6092718,0.148712442,262843.0986
12.05585866,1.4485155,0.147337517,421239.9712
15.58677273,1.6411481,0.145168683,415564.0089
19.42303768,1.2037076,0.143652933,432564.7057
15.88094514,1.5285266,0.144586383,427413.8223
14.38554358,1.4873086,0.142275697,351073.2915
12.22610649,1.4629386,0.142891477,427830.1077
19.34713621,1.4358977,0.142727198,267674.6038
18.98528905,1.29343,0.141805813,227617.33
16.22245907,1.4277032,0.14390079,219719.6621
13.9170585,1.5559584,0.14491721,250290.8188
0.001013345,0.40599906,0.143932188,318833.7073
15.63911959,1.5960511,0.142092355,328535.9215
18.83778965,1.4707613,0.147664728,418527.4202
15.34109831,1.599524,0.145883719,284048.5313
2.956039314,0.68480728,0.143556756,322329.1056
15.86069052,1.5077751,0.146590532,271840.7747
18.84960827,1.3282506,0.145490592,304861.3378
16.05985262,1.4478038,0.147827788,247984.8858
19.09374104,1.3491233,0.14539986,343907.4613
14.90861828,1.583535,0.142445089,343314.1887
15.03151287,1.5674497,0.14708271,219246.8473
17.48684611,1.6869982,0.14774874,407965.8308
14.92362696,1.5229673,0.142484585,330335.4562
16.12684334,1.4743133,0.148701542,314790.6129
18.60670137,1.527607,0.147018699,244488.2218
19.02901954,1.3015668,0.146811293,292624.0792
14.78713928,1.6133794,0.143964271,387814.2588
17.12245458,1.378769,0.141273913,211176.6637
5.061150385,0.89884855,0.143692834,383838.8953
14.77357776,1.5092069,0.144688261,335181.1826
11.40210046,1.2732694,0.145151546,278147.3207
13.04812862,1.3571299,0.14385839,247909.203
15.97141573,1.5505756,0.141108109,234306.2066
15.06282513,1.5303941,0.148014692,322452.7483
17.49558568,1.3044177,0.145742764,223236.6781
